day,hour,tabsOpen,reason
1,00:00:00,0,sleeping
1,02:00,0,sleeping
1,04:00:00,0,sleeping
1,06:00,2,out
1,08:00:00,2,out
1,10:00,5,work
1,12:00:00,6,coding
1,14:00,8,coding
1,16:00:00,6,coding
1,18:00,7,coding
1,20:00:00,4,entertainment
1,22:00,4,entertainment
2,00:00:00,3,coding
2,02:00:00,0,sleeping
2,04:00:00,0,sleeping
2,06:00:00,0,sleeping
2,08:00:00,2,coding
2,10:00:00,3,work
2,12:00:00,3,work
2,14:00:00,5,coding
2,16:00:00,4,entertainment
2,18:00:00,4,entertainment
2,20:00:00,6,entertainment
2,22:00:00,0,sleeping
3,00:00:00,0,sleeping
3,02:00:00,0,sleeping
3,04:00:00,0,sleeping
3,06:00:00,0,sleeping
3,08:00:00,3,coding
3,10:00:00,5,work
3,12:00:00,4,work
3,14:00:00,6,coding
3,16:00:00,8,coding
3,18:00:00,9,coding
3,20:00:00,9,work
3,22:00:00,0,sleeping
4,00:00:00,0,sleeping
4,02:00:00,0,sleeping
4,04:00:00,0,sleeping
4,06:00:00,3,out
4,08:00:00,3,entertainment
4,10:00:00,2,work
4,12:00:00,3,entertainment
4,14:00:00,5,work
4,16:00:00,20,shopping
4,18:00:00,17,shopping
4,20:00:00,2,entertainment
4,22:00:00,0,sleeping
5,00:00:00,0,sleeping
5,02:00:00,0,sleeping
5,04:00:00,0,sleeping
5,06:00:00,0,out
5,08:00:00,3,entertainment
5,10:00:00,2,entertainment
5,12:00:00,4,entertainment
5,14:00:00,3,entertainment
5,16:00:00,3,work
5,18:00:00,14,shopping
5,20:00:00,2,entertainment
5,22:00:00,3,entertainment
6,00:00:00,3,entertainment
6,02:00:00,0,sleeping
6,04:00:00,0,sleeping
6,06:00:00,0,sleeping
6,08:00:00,1,out
6,10:00:00,2,out
6,12:00:00,0,out
6,14:00:00,0,out
6,16:00:00,6,work
6,18:00:00,4,coding
6,20:00:00,4,coding
6,22:00:00,2,entertainment
7,00:00:00,3,entertainment
7,02:00:00,0,sleeping
7,04:00:00,0,sleeping
7,06:00:00,0,sleeping
7,08:00:00,0,sleeping
7,10:00:00,0,sleeping
7,12:00:00,2,entertainment
7,14:00:00,7,work
7,16:00:00,0,out
7,18:00:00,8,shopping
7,20:00:00,12,shopping
7,22:00:00,0,sleeping
8,00:00:00,0,sleeping
8,02:00:00,0,sleeping
8,04:00:00,0,sleeping
8,06:00:00,2,work
8,08:00:00,2,work
8,10:00:00,5,coding
8,12:00:00,4,coding
8,14:00:00,4,coding
8,16:00:00,2,entertainment
8,18:00:00,3,entertainment
8,20:00:00,7,shopping
8,22:00:00,0,sleeping
9,00:00:00,0,sleeping
9,02:00:00,0,sleeping
9,04:00:00,0,sleeping
